Column1,Column2,Column3,Column4
235,20181103,0,9
235,20181104,0,9
235,20181105,0,3
235,20181106,0,7
235,20181107,-1,5
235,20181108,-1,10
235,20181109,0,6
235,20181110,25,3
235,20181111,33,3
235,20181112,4,3
235,20181113,35,7
235,20181114,0,6
235,20181115,0,7
235,20181116,0,2
235,20181117,0,7
235,20181118,0,7
235,20181119,-1,5
235,20181120,7,1
235,20181121,0,3
235,20181122,0,1
235,20181123,-1,3
235,20181124,0,3
235,20181125,-1,2
235,20181126,0,2
235,20181127,0,2
235,20181128,22,1
235,20181129,47,2
235,20181130,-1,5
235,20181201,7,3
235,20181202,14,2
235,20181203,48,4
235,20181204,2,5
235,20181205,22,1
235,20181206,10,1
235,20181207,106,1
235,20181208,125,2
235,20181209,29,3
235,20181210,27,4
235,20181211,13,3
235,20181212,-1,2
235,20181213,0,3
235,20181214,0,4
235,20181215,5,1
235,20181216,19,1
235,20181217,22,1
235,20181218,0,2
235,20181219,9,1
235,20181220,178,2
235,20181221,91,2
235,20181222,101,3
235,20181223,87,1
235,20181224,-1,5
235,20181225,0,4
235,20181226,0,1
235,20181227,0,1
235,20181228,0,1
235,20181229,-1,1
235,20181230,-1,2
235,20181231,-1,3
235,20190101,-1,3
235,20190102,11,2
235,20190103,9,3
235,20190104,-1,1
235,20190105,-1,1
235,20190106,2,2
235,20190107,3,2
235,20190108,15,3
235,20190109,30,5
235,20190110,20,1
235,20190111,9,3
235,20190112,16,2
235,20190113,63,2
235,20190114,22,4
235,20190115,0,3
235,20190116,24,1
235,20190117,14,3
235,20190118,0,4
235,20190119,0,5
235,20190120,0,5
235,20190121,-1,2
235,20190122,6,1
235,20190123,0,1
235,20190124,-1,2
235,20190125,25,2
235,20190126,18,3
235,20190127,66,3
235,20190128,12,5
235,20190129,0,3
235,20190130,2,3
235,20190131,6,4
235,20190201,-1,2
235,20190202,8,2
235,20190203,-1,8
235,20190204,41,1
235,20190205,0,6
235,20190206,26,2
235,20190207,50,8
235,20190208,20,2
235,20190209,0,7
235,20190210,145,3
235,20190211,9,10
235,20190212,0,8
235,20190213,0,5
235,20190214,0,10
235,20190215,0,12
235,20190216,0,10
235,20190217,0,11
235,20190218,8,11
235,20190219,-1,6
235,20190220,0,9
235,20190221,8,4
235,20190222,0,5
235,20190223,0,14
235,20190224,0,14
235,20190225,0,14
235,20190226,0,15
235,20190227,0,16
235,20190228,0,9
235,20190301,1,5
235,20190302,1,11
235,20190303,48,3
235,20190304,87,7
235,20190305,0,15
235,20190306,61,4
235,20190307,173,12
235,20190308,40,14
235,20190309,22,12
235,20190310,145,3
235,20190311,11,10
235,20190312,96,4
235,20190313,5,7
235,20190314,82,8
235,20190315,7,13
235,20190316,35,6
235,20190317,42,17
235,20190318,3,17
235,20190319,0,19
235,20190320,0,10
235,20190321,0,8
235,20190322,0,11
235,20190323,0,16
235,20190324,-1,20
235,20190325,1,18
235,20190326,-1,10
235,20190327,0,25
235,20190328,-1,15
235,20190329,0,25
235,20190330,0,24
235,20190331,0,25
235,20190401,0,27
235,20190402,7,15
235,20190403,83,18
235,20190404,0,14
235,20190405,0,26
235,20190406,0,7
235,20190407,0,29
235,20190408,0,30
235,20190409,0,30
235,20190410,0,29
235,20190411,0,19
235,20190412,-1,26
235,20190413,2,22
235,20190414,0,28
235,20190415,0,31
235,20190416,0,31
235,20190417,-1,23
235,20190418,0,30
235,20190419,0,36
235,20190420,0,37
235,20190421,0,38
235,20190422,0,39
235,20190423,0,34
235,20190424,95,32
235,20190425,61,21
235,20190426,0,31
235,20190427,28,24
235,20190428,5,11
235,20190429,0,22
235,20190430,0,9
235,20190501,0,14
235,20190502,4,16
235,20190503,1,27
235,20190504,28,28
235,20190505,22,28
235,20190506,0,32
235,20190507,5,23
235,20190508,29,12
235,20190509,-1,40
235,20190510,0,35
235,20190511,0,39
235,20190512,-1,35
235,20190513,0,40
235,20190514,0,41
235,20190515,0,43
235,20190516,-1,33
235,20190517,-1,18
235,20190518,5,34
235,20190519,0,26
235,20190520,-1,17
235,20190521,0,10
235,20190522,0,34
235,20190523,0,43
235,20190524,0,44
235,20190525,0,41
235,20190526,154,18
235,20190527,1,34
235,20190528,0,29
235,20190529,0,44
235,20190530,21,35
235,20190531,0,43
235,20190601,-1,46
235,20190602,-1,48
235,20190603,0,29
235,20190604,103,33
235,20190605,199,12
235,20190606,100,42
235,20190607,48,25
235,20190608,236,11
235,20190609,0,45
235,20190610,68,33
235,20190611,92,27
235,20190612,130,17
235,20190613,60,28
235,20190614,10,29
235,20190615,330,28
235,20190616,0,46
235,20190617,0,45
235,20190618,0,47
235,20190619,4,29
235,20190620,24,30
235,20190621,0,48
235,20190622,0,52
235,20190623,0,52
235,20190624,0,48
235,20190625,0,49
235,20190626,0,35
235,20190627,-1,26
235,20190628,0,41
235,20190629,0,58
235,20190630,0,48
235,20190701,0,44
235,20190702,0,50
235,20190703,0,47
235,20190704,0,47
235,20190705,0,42
235,20190706,1,19
235,20190707,-1,31
235,20190708,18,31
235,20190709,0,45
235,20190710,56,10
235,20190711,10,23
235,20190712,244,22
235,20190713,1,23
235,20190714,8,25
235,20190715,-1,19
235,20190716,0,25
235,20190717,0,47
235,20190718,91,25
235,20190719,-1,37
235,20190720,50,22
235,20190721,0,47
235,20190722,0,41
235,20190723,0,52
235,20190724,0,48
235,20190725,0,50
235,20190726,-1,52
235,20190727,0,51
235,20190728,0,39
235,20190729,0,46
235,20190730,0,47
235,20190731,146,25
235,20190801,3,32
235,20190802,21,26
235,20190803,-1,27
235,20190804,0,30
235,20190805,1,34
235,20190806,0,41
235,20190807,19,40
235,20190808,0,44
235,20190809,50,12
235,20190810,6,33
235,20190811,0,29
235,20190812,36,30
235,20190813,98,25
235,20190814,34,21
235,20190815,78,22
235,20190816,17,27
235,20190817,113,33
235,20190818,1,24
235,20190819,10,33
235,20190820,65,34
235,20190821,0,36
235,20190822,0,39
235,20190823,0,37
235,20190824,0,40
235,20190825,0,40
235,20190826,0,40
235,20190827,0,39
235,20190828,-1,25
235,20190829,-1,30
235,20190830,0,30
235,20190831,0,34
235,20190901,-1,27
235,20190902,-1,32
235,20190903,-1,27
235,20190904,93,11
235,20190905,33,23
235,20190906,57,13
235,20190907,31,23
235,20190908,89,15
235,20190909,35,24
235,20190910,117,20
235,20190911,42,7
235,20190912,0,30
235,20190913,0,26
235,20190914,0,24
235,20190915,-1,18
235,20190916,59,13
235,20190917,-1,18
